doc_id,knowledge_graph
97966,"[{""predicate"": ""Found_on"", ""subject"": ""Xylella fastidiosa"", ""object"": ""olive trees""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa"", ""object"": ""France""}]"
97985,"[{""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive tree""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive trees""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""olive""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""olive trees""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Monopoli""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Polignano a Mare""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Greece""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella fastidiosa pauca"", ""object"": ""Spain""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Greece""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""olive"", ""object"": ""Spain""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Polignano a Mare""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Polignano""}]"
98065,"[{""predicate"": ""Affects"", ""subject"": ""pine wilt disease"", ""object"": ""Pine""}, {""predicate"": ""Causes"", ""subject"": ""B. xylophilus"", ""object"": ""pine wilt disease""}, {""predicate"": ""Causes"", ""subject"": ""Bursaphelenchus xylophilus"", ""object"": ""pine wilt disease""}, {""predicate"": ""Causes"", ""subject"": ""Pinewood Nematodes"", ""object"": ""pine wilt disease""}, {""predicate"": ""Found_on"", ""subject"": ""B. xylophilus"", ""object"": ""Pine""}]"
98134,"[{""predicate"": ""Affects"", ""subject"": ""Citrus greening"", ""object"": ""citrus""}, {""predicate"": ""Affects"", ""subject"": ""Huanglongbing"", ""object"": ""Oranges""}, {""predicate"": ""Affects"", ""subject"": ""Huanglongbing"", ""object"": ""citrus""}, {""predicate"": ""Affects"", ""subject"": ""Huanglongbing"", ""object"": ""citrus groves""}, {""predicate"": ""Affects"", ""subject"": ""Huanglongbing"", ""object"": ""citrus trees""}, {""predicate"": ""Found_on"", ""subject"": ""Phytophthora"", ""object"": ""citrus trees""}, {""predicate"": ""Found_on"", ""subject"": ""Phytophthora"", ""object"": ""grapefruit""}, {""predicate"": ""Found_on"", ""subject"": ""citrus psyllid"", ""object"": ""citrus""}, {""predicate"": ""Found_on"", ""subject"": ""citrus psyllid"", ""object"": ""citrus groves""}, {""predicate"": ""Found_on"", ""subject"": ""citrus psyllid"", ""object"": ""soil""}, {""predicate"": ""Located_in"", ""subject"": ""Huanglongbing"", ""object"": ""Florida""}, {""predicate"": ""Located_in"", ""subject"": ""citrus"", ""object"": ""Florida""}, {""predicate"": ""Occurs_on"", ""subject"": ""Citrus greening"", ""object"": ""in the summer""}, {""predicate"": ""Occurs_on"", ""subject"": ""citrus trees"", ""object"": ""in the summer""}]"
99054,"[{""predicate"": ""Found_on"", ""subject"": ""citrus psyllid"", ""object"": ""Citrus""}, {""predicate"": ""Found_on"", ""subject"": ""citrus psyllid"", ""object"": ""plant material""}, {""predicate"": ""Transmits"", ""subject"": ""citrus psyllid"", ""object"": ""Huanglongbing""}]"
99433,"[{""predicate"": ""Affects"", ""subject"": ""Bois noir"", ""object"": ""grapevine""}, {""predicate"": ""Affects"", ""subject"": ""Bois noir"", ""object"": ""grapevines""}, {""predicate"": ""Affects"", ""subject"": ""Bois noir"", ""object"": ""wine""}, {""predicate"": ""Causes"", ""subject"": ""Candidatus Phytoplasma solani"", ""object"": ""Bois noir""}, {""predicate"": ""Causes"", ""subject"": ""Flavescence dorée phytoplasma"", ""object"": ""Flavescence dorée""}, {""predicate"": ""Found_on"", ""subject"": ""Candidatus Phytoplasma solani"", ""object"": ""grapevine""}, {""predicate"": ""Found_on"", ""subject"": ""Candidatus Phytoplasma solani"", ""object"": ""wine""}, {""predicate"": ""Found_on"", ""subject"": ""Flavescence dorée phytoplasma"", ""object"": ""grapevines""}, {""predicate"": ""Found_on"", ""subject"": ""Hyalesthes obsoletus"", ""object"": ""Convolvulus arvensis""}, {""predicate"": ""Found_on"", ""subject"": ""Hyalesthes obsoletus"", ""object"": ""Crepis foetida""}, {""predicate"": ""Found_on"", ""subject"": ""Hyalesthes obsoletus"", ""object"": ""grapevine""}, {""predicate"": ""Found_on"", ""subject"": ""Hyalesthes obsoletus"", ""object"": ""grapevines""}, {""predicate"": ""Found_on"", ""subject"": ""Hyalesthes obsoletus"", ""object"": ""wine""}, {""predicate"": ""Found_on"", ""subject"": ""Reptalus panzeri"", ""object"": ""grapevine""}, {""predicate"": ""Found_on"", ""subject"": ""Reptalus panzeri"", ""object"": ""grapevines""}, {""predicate"": ""Found_on"", ""subject"": ""Reptalus panzeri"", ""object"": ""wine""}, {""predicate"": ""Found_on"", ""subject"": ""phytoplasmas"", ""object"": ""grapevines""}, {""predicate"": ""Transmits"", ""subject"": ""Hyalesthes obsoletus"", ""object"": ""Candidatus Phytoplasma solani""}, {""predicate"": ""Transmits"", ""subject"": ""Reptalus panzeri"", ""object"": ""Bois noir""}, {""predicate"": ""Transmits"", ""subject"": ""Reptalus panzeri"", ""object"": ""Candidatus Phytoplasma solani""}]"
99581,"[{""predicate"": ""Affects"", ""subject"": ""brown wrinkling of tomatoes"", ""object"": ""tomato""}, {""predicate"": ""Causes"", ""subject"": ""ToBRFV"", ""object"": ""brown wrinkling of tomatoes""}, {""predicate"": ""Found_on"", ""subject"": ""ToBRFV"", ""object"": ""seedlings""}, {""predicate"": ""Found_on"", ""subject"": ""ToBRFV"", ""object"": ""tomato""}, {""predicate"": ""Found_on"", ""subject"": ""ToBRFV"", ""object"": ""tomato farms""}, {""predicate"": ""Found_on"", ""subject"": ""ToBRFV-Virus"", ""object"": ""seedlings""}, {""predicate"": ""Found_on"", ""subject"": ""ToBRFV-Virus"", ""object"": ""seeds""}, {""predicate"": ""Found_on"", ""subject"": ""tobamovirus"", ""object"": ""tomato""}, {""predicate"": ""Found_on"", ""subject"": ""tobamovirus"", ""object"": ""tomato farms""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV"", ""object"": ""Europe""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV"", ""object"": ""Germany""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV"", ""object"": ""Israel""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV"", ""object"": ""Italy""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV"", ""object"": ""Jordan""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV"", ""object"": ""Sicily""}, {""predicate"": ""Located_in"", ""subject"": ""ToBRFV-Virus"", ""object"": ""Hungary""}, {""predicate"": ""Located_in"", ""subject"": ""tobamovirus"", ""object"": ""Netherlands""}, {""predicate"": ""Located_in"", ""subject"": ""tomato"", ""object"": ""Europe""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV"", ""object"": ""at the beginning of 2019""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV"", ""object"": ""for the first time""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV"", ""object"": ""from mid-2019""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV"", ""object"": ""in 2014""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV"", ""object"": ""in 2015""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV"", ""object"": ""in 2018""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV"", ""object"": ""on June 1, 2022""}, {""predicate"": ""Occurs_on"", ""subject"": ""ToBRFV-Virus"", ""object"": ""As of November 1, 2019""}, {""predicate"": ""Occurs_on"", ""subject"": ""brown wrinkling of tomatoes"", ""object"": ""on June 1, 2022""}, {""predicate"": ""Occurs_on"", ""subject"": ""tobamovirus"", ""object"": ""from mid-2019""}, {""predicate"": ""Occurs_on"", ""subject"": ""tomato"", ""object"": ""for the first time""}, {""predicate"": ""Occurs_on"", ""subject"": ""tomato"", ""object"": ""on June 1, 2022""}]"
99632,"[{""predicate"": ""Causes"", ""subject"": ""Foc R4T"", ""object"": ""Fusariosis""}, {""predicate"": ""Causes"", ""subject"": ""Fusarium oxysporum f. sp. cubense Tropical Race 4"", ""object"": ""Fusariosis""}, {""predicate"": ""Found_on"", ""subject"": ""Foc R4T"", ""object"": ""Banana""}, {""predicate"": ""Found_on"", ""subject"": ""Fusarium oxysporum f. sp. cubense Tropical Race 4"", ""object"": ""Banana""}, {""predicate"": ""Located_in"", ""subject"": ""Foc R4T"", ""object"": ""Mexico""}, {""predicate"": ""Located_in"", ""subject"": ""Fusariosis"", ""object"": ""Mexico""}, {""predicate"": ""Located_in"", ""subject"": ""Fusarium oxysporum f. sp. cubense Tropical Race 4"", ""object"": ""Mexico""}]"
99733,"[{""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""myrtle""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive tree""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""olive trees""}, {""predicate"": ""Found_on"", ""subject"": ""Xylella"", ""object"": ""rosemary""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Brindisi""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Italian""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Monopoli""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Polignano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Polignano a Mare""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""Puglia""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""countryside of Fasano""}, {""predicate"": ""Located_in"", ""subject"": ""Xylella"", ""object"": ""province of Bari""}, {""predicate"": ""Located_in"", ""subject"": ""olive tree"", ""object"": ""Italian""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Brindisi""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Polignano a Mare""}, {""predicate"": ""Located_in"", ""subject"": ""olive trees"", ""object"": ""Puglia""}]"
99826,[]
